,label,nPos,nNeg,log_nPos,log_nNeg,rPos,rNeg,rTot,rCount,adj_rCount,radious,PosNeg,rPositiveness,adj_rPositiveness,theta,xp,yp,x,y
0,원단,771221,661603,13.555730252198192,13.40242095714325,0.19053733177422436,0.18954102688026797,0.19007599197894873,1.0,1.0,1.0,0.5013106572253724,0.4322192545057668,0.5,0.7853981633974483,0.7071067811865476,0.7071067811865476,1.0000000000000002,1.0
1,착용감,110349,92599,11.611403349568606,11.43603362143989,0.027262748322405488,0.026528461249549856,0.02692273609329805,0.13586062204634783,0.51244960806271,0.51244960806271,0.5068253445005116,0.5735870135469127,0.740937153965989,1.1638613598356402,0.20282573793484746,0.4706020833302905,0.2909051279217583,0.67496640537514
2,필터,275790,225178,12.52739498552591,12.324646479534216,0.06813648841254755,0.06451069501021758,0.06645756181478674,0.34525638016972565,0.7659315976136145,0.7659315976136145,0.5136670576365502,0.7489727799174479,0.8195653624554284,1.287370260913315,0.21419021264021323,0.735373214791023,0.2458163670065862,0.8439543984090763
3,보관,91765,79436,11.426986240292573,11.282706944984055,0.022671398017250176,0.02275742554260027,0.022711233133160806,0.11355444416183377,0.4519826776583533,0.4519826776583533,0.4990531614225409,0.3743488609968225,0.41930080767620503,0.6586361685199162,0.3574404144495273,0.2766309654058364,0.6346551184389022,0.4911734963822895
4,향균,100743,79091,11.52032799848697,11.278354367257023,0.02488949654499901,0.022658587335588374,0.023856472212597127,0.119620190017411,0.4745043305854117,0.4745043305854117,0.5234595069594535,1.0,0.9222465067801742,1.4486614252497223,0.05780956560055835,0.47096965281149955,0.07974423502760634,0.6496695537236078
5,냄새,51491,44280,10.849162314098441,10.698288386822574,0.012721331175352572,0.012685669004309633,0.012704817777909846,0.06055557819563558,0.25520192006678494,0.25520192006678494,0.5007018178216782,0.4166117943141066,0.4782356857224741,0.7512108584751008,0.18651763187491296,0.17418149444056374,0.50346794671119,0.47016895121148233
6,디자인,242779,198120,12.399906843487878,12.196628186702174,0.05998081337361718,0.05675891470491925,0.058488910562306685,0.30305050876943984,0.7345016797312431,0.7345016797312431,0.5137994953463075,0.7523677906056044,0.8209540707490549,1.289551638799933,0.20386215192531124,0.7056436356549948,0.23776701276116363,0.8230011198208287
7,숨쉬기,185299,157025,12.129726015604815,11.964160307322581,0.045779843962277994,0.04498570856824119,0.045412118919142645,0.23378942945593076,0.6425130645763345,0.6425130645763345,0.5043746519020517,0.5107640639474249,0.6338661868450925,0.9956746779757589,0.34948654747205093,0.5391495073607495,0.4937318757649973,0.761675376384223
8,브랜드,32812,28100,10.39854958112264,10.243524855321837,0.008106510235296821,0.008050300339229917,0.008080482196991205,0.03606283699563952,0.1708658835041786,0.1708658835041786,0.5017395108956567,0.4432128211941219,0.5187366531647195,0.8148296293650197,0.11721269179185755,0.12432350955700434,0.3221860485162016,0.3417317670083572
9,여름용마스크,88870,77206,11.394929906732521,11.254232453200062,0.021956161301073647,0.02211855829147989,0.022031359360183727,0.10995350039838733,0.43861264739643113,0.43861264739643113,0.4981577081838806,0.3513941200732138,0.38729084644705114,0.6083550390003143,0.3599208247312746,0.25067519697980717,0.6257417649309541,0.43581234928452106
10,방한,5300,4286,8.575462099540212,8.363109176033522,0.0013094143681297438,0.0012278856673999794,0.0012716624366357644,0.0,0.0,0.0,0.5160660346801956,0.8104700129845298,0.8447204283564768,1.3268837460309653,0.0,0.0,0.0,0.0
11,가격,120749,102856,11.701469289907028,11.541085230764084,0.029832165195716683,0.029466964117147054,0.029663058537861473,0.15037470893835042,0.5317263904441956,0.5317263904441956,0.5030793123170731,0.4775583271232863,0.57727269070413,0.9067778221170538,0.3276957857514897,0.41874625526149706,0.5382613550952288,0.6878175936294637
12,유통,6502,5651,8.779865100863852,8.639587799629844,0.00160637966444898,0.0016189411820992261,0.0016121962854615526,0.0018036336860033236,0.05346133805401105,0.05346133805401105,0.49805267161812916,0.3487015315043932,0.38353608153897223,0.6024570680747255,0.044049242811422314,0.030294865476935356,0.1069226761080221,0.07353606741876861
13,차단(바이러스),263229,234635,12.480779654734489,12.365786394184601,0.06503317636008006,0.0672200078325698,0.06604579046038266,0.34307543783963046,0.7647937572741685,0.7647937572741685,0.4917324052126252,0.18668293394637073,0.22289748393807807,0.3501265490217575,0.7183931937990545,0.2623370165812173,0.8431958381827791,0.30791143692884504
14,사이즈,217623,185030,12.290519486907641,12.128273253075761,0.053765789251980986,0.053008792589598265,0.05341526132888592,0.276177982881289,0.6988111235535648,0.6988111235535648,0.503544835527925,0.4894919091772381,0.597611439200963,0.9387258535474844,0.4128691374942553,0.5638049855286359,0.5852521436834541,0.7992074157023765
15,끈조절,313876,288055,12.656753282436492,12.570906713107432,0.07754598947379084,0.08252417310380332,0.0798511414715838,0.4161953236212074,0.8029418341443745,0.8029418341443745,0.4844499950838767,0.0,0.14653597510564753,0.23017817143925953,0.7817648538800283,0.18319198196719824,0.8686278894295829,0.20354671083871656
16,피부,87503,72883,11.37942835747225,11.196610694643175,0.02161843121782207,0.02088007258448733,0.02127653364930771,0.10595557454199507,0.4237686528227068,0.4237686528227068,0.5086868779753915,0.6213070024772356,0.7673444594220507,1.2053418582465727,0.15144380847011504,0.39578358226591326,0.23564905872352043,0.6158457685484712
17,운동,40552,36527,10.610340380152186,10.505806992135533,0.010018749331395729,0.010464530978329221,0.010225168887278122,0.047422145839276356,0.2097936565572121,0.2097936565572121,0.4891184019309191,0.1196735519770808,0.1954877073455717,0.30707137263197976,0.19998011511790498,0.06341397234896212,0.4195873131144242,0.13305171994788556
18,원산지,99503,90104,11.507943073445928,11.408719837727533,0.0245831429947196,0.025813674795942074,0.02515294175080298,0.12648692629061337,0.5,0.5,0.4877915724130256,0.08566057785616686,0.18157490895074074,0.2852172000179413,0.4798002813089948,0.1406829415949547,0.6666666666666666,0.19547430750581252
19,밀착력,635370,554759,13.361962785349757,13.22628906418735,0.15697407680728212,0.1589315503875747,0.15788048654818335,0.8294768689425099,0.9717613945760282,0.9717613945760282,0.49690180640706794,0.31919936252745296,0.3423958531098839,0.5378341483748106,0.8345683259786647,0.4978111260925334,0.9811742630506854,0.5852600075727774
20,차단(자외선),49943,41840,10.818637634116012,10.641608098738805,0.01233888335613279,0.011986639366312444,0.012175776488810804,0.05775351698029423,0.24519873944035703,0.24519873944035703,0.507240214194767,0.5842221041775916,0.7521751092881409,1.1815138987763616,0.09305896048791476,0.22685337047539939,0.2011690613848837,0.49039747888071406
21,차단(먼지),249241,224874,12.426175578847188,12.323295524327994,0.061577310665476497,0.06442360279302449,0.06289528856098116,0.3263888400956129,0.7560880323316745,0.7560880323316745,0.48870527185310675,0.10908305601983698,0.19115572994687058,0.3002667184463415,0.7222588652052278,0.22363193928336794,0.8373920215544497,0.25928044741607964
22,모자,7101,6415,8.867990898182093,8.766394277049736,0.0017543681939791152,0.0018378176753081818,0.0017930095444991644,0.002761309071286741,0.056743242839765035,0.056743242839765035,0.48838458192788015,0.1008622424334106,0.1877930565839696,0.2949846434796856,0.05429230964945754,0.016496688179751886,0.11348648567953007,0.0344828057409746
,label,nPos,nNeg,log_nPos,log_nNeg,rPos,rNeg,rTot,rCount,adj_rCount,radious,PosNeg,rPositiveness,adj_rPositiveness,theta,xp,yp,x,y,publishtime,subkey
0,원단,771221,661603,13.555730252198192,13.40242095714325,0.19053733177422436,0.18954102688026797,0.19007599197894873,1.0,1.0,1.0,0.5013106572253724,0.4322192545057668,0.5,0.7853981633974483,0.7071067811865476,0.7071067811865476,1.0000000000000002,1.0,2021-01-01,"원단,면,부직포,재질,안감,겉감,바느질,박음질,정전기"
1,착용감,110349,92599,11.611403349568606,11.43603362143989,0.027262748322405488,0.026528461249549856,0.02692273609329805,0.13586062204634783,0.51244960806271,0.51244960806271,0.5068253445005116,0.5735870135469127,0.740937153965989,1.1638613598356402,0.20282573793484746,0.4706020833302905,0.2909051279217583,0.67496640537514,2021-01-01,"밀착,편안,구조,공간,구조,실리콘"
2,필터,275790,225178,12.52739498552591,12.324646479534216,0.06813648841254755,0.06451069501021758,0.06645756181478674,0.34525638016972565,0.7659315976136145,0.7659315976136145,0.5136670576365502,0.7489727799174479,0.8195653624554284,1.287370260913315,0.21419021264021323,0.735373214791023,0.2458163670065862,0.8439543984090763,2021-01-01,"교체,필터,교환,특허,허가,KF"
3,보관,91765,79436,11.426986240292573,11.282706944984055,0.022671398017250176,0.02275742554260027,0.022711233133160806,0.11355444416183377,0.4519826776583533,0.4519826776583533,0.4990531614225409,0.3743488609968225,0.41930080767620503,0.6586361685199162,0.3574404144495273,0.2766309654058364,0.6346551184389022,0.4911734963822895,2021-01-01,"세탁,보관,케이스,부착,가방,패드,오염"
4,향균,100743,79091,11.52032799848697,11.278354367257023,0.02488949654499901,0.022658587335588374,0.023856472212597127,0.119620190017411,0.4745043305854117,0.4745043305854117,0.5234595069594535,1.0,0.9222465067801742,1.4486614252497223,0.05780956560055835,0.47096965281149955,0.07974423502760634,0.6496695537236078,2021-01-01,"자극,균,세균,살균"
5,냄새,51491,44280,10.849162314098441,10.698288386822574,0.012721331175352572,0.012685669004309633,0.012704817777909846,0.06055557819563558,0.25520192006678494,0.25520192006678494,0.5007018178216782,0.4166117943141066,0.4782356857224741,0.7512108584751008,0.18651763187491296,0.17418149444056374,0.50346794671119,0.47016895121148233,2021-01-01,"냄새,향"
6,디자인,242779,198120,12.399906843487878,12.196628186702174,0.05998081337361718,0.05675891470491925,0.058488910562306685,0.30305050876943984,0.7345016797312431,0.7345016797312431,0.5137994953463075,0.7523677906056044,0.8209540707490549,1.289551638799933,0.20386215192531124,0.7056436356549948,0.23776701276116363,0.8230011198208287,2021-01-01,"디자인,패션,아이템,스타일,연예인,고급,스타,핏,포인트,다양,패턴,화이트,컬러,블랙,핑크,색상,꽃,흰색,검정,캐릭터"
7,숨쉬기,185299,157025,12.129726015604815,11.964160307322581,0.045779843962277994,0.04498570856824119,0.045412118919142645,0.23378942945593076,0.6425130645763345,0.6425130645763345,0.5043746519020517,0.5107640639474249,0.6338661868450925,0.9956746779757589,0.34948654747205093,0.5391495073607495,0.4937318757649973,0.761675376384223,2021-01-01,"숨,호흡,편안,서림,숨쉬기,호흡,공기,운동,띰밸브"
8,브랜드,32812,28100,10.39854958112264,10.243524855321837,0.008106510235296821,0.008050300339229917,0.008080482196991205,0.03606283699563952,0.1708658835041786,0.1708658835041786,0.5017395108956567,0.4432128211941219,0.5187366531647195,0.8148296293650197,0.11721269179185755,0.12432350955700434,0.3221860485162016,0.3417317670083572,2021-01-01,"브랜드,크리넥스,웰킵스,필슨,유한킴벌리, 3M"
9,여름용마스크,88870,77206,11.394929906732521,11.254232453200062,0.021956161301073647,0.02211855829147989,0.022031359360183727,0.10995350039838733,0.43861264739643113,0.43861264739643113,0.4981577081838806,0.3513941200732138,0.38729084644705114,0.6083550390003143,0.3599208247312746,0.25067519697980717,0.6257417649309541,0.43581234928452106,2021-01-01,"여름,답답,더위,덴탈,덴탈마스크,통기성"
10,방한,5300,4286,8.575462099540212,8.363109176033522,0.0013094143681297438,0.0012278856673999794,0.0012716624366357644,0.0,0.0,0.0,0.5160660346801956,0.8104700129845298,0.8447204283564768,1.3268837460309653,0.0,0.0,0.0,0.0,2021-01-01,방한
11,가격,120749,102856,11.701469289907028,11.541085230764084,0.029832165195716683,0.029466964117147054,0.029663058537861473,0.15037470893835042,0.5317263904441956,0.5317263904441956,0.5030793123170731,0.4775583271232863,0.57727269070413,0.9067778221170538,0.3276957857514897,0.41874625526149706,0.5382613550952288,0.6878175936294637,2021-01-01,"비교,가격,돈,할인"
12,유통,6502,5651,8.779865100863852,8.639587799629844,0.00160637966444898,0.0016189411820992261,0.0016121962854615526,0.0018036336860033236,0.05346133805401105,0.05346133805401105,0.49805267161812916,0.3487015315043932,0.38353608153897223,0.6024570680747255,0.044049242811422314,0.030294865476935356,0.1069226761080221,0.07353606741876861,2021-01-01,유통
13,차단(바이러스),263229,234635,12.480779654734489,12.365786394184601,0.06503317636008006,0.0672200078325698,0.06604579046038266,0.34307543783963046,0.7647937572741685,0.7647937572741685,0.4917324052126252,0.18668293394637073,0.22289748393807807,0.3501265490217575,0.7183931937990545,0.2623370165812173,0.8431958381827791,0.30791143692884504,2021-01-01,"코로나,메르스,감염,바이러스,확진,방역"
14,사이즈,217623,185030,12.290519486907641,12.128273253075761,0.053765789251980986,0.053008792589598265,0.05341526132888592,0.276177982881289,0.6988111235535648,0.6988111235535648,0.503544835527925,0.4894919091772381,0.597611439200963,0.9387258535474844,0.4128691374942553,0.5638049855286359,0.5852521436834541,0.7992074157023765,2021-01-01,"사이즈,중형,대형,소형,성인,여성,남자,여자,크기,유아,아동,어린이,아기,키즈"
15,끈조절,313876,288055,12.656753282436492,12.570906713107432,0.07754598947379084,0.08252417310380332,0.0798511414715838,0.4161953236212074,0.8029418341443745,0.8029418341443745,0.4844499950838767,0.0,0.14653597510564753,0.23017817143925953,0.7817648538800283,0.18319198196719824,0.8686278894295829,0.20354671083871656,2021-01-01,"귀,끈,조절,머리,고리,줄,연결,고정,양쪽위치밴드"
16,피부,87503,72883,11.37942835747225,11.196610694643175,0.02161843121782207,0.02088007258448733,0.02127653364930771,0.10595557454199507,0.4237686528227068,0.4237686528227068,0.5086868779753915,0.6213070024772356,0.7673444594220507,1.2053418582465727,0.15144380847011504,0.39578358226591326,0.23564905872352043,0.6158457685484712,2021-01-01,"메이크업,묻어남,트러블,화장,안심"
17,운동,40552,36527,10.610340380152186,10.505806992135533,0.010018749331395729,0.010464530978329221,0.010225168887278122,0.047422145839276356,0.2097936565572121,0.2097936565572121,0.4891184019309191,0.1196735519770808,0.1954877073455717,0.30707137263197976,0.19998011511790498,0.06341397234896212,0.4195873131144242,0.13305171994788556,2021-01-01,"자전거,스노클링,야외,여행,운동,외부"
18,원산지,99503,90104,11.507943073445928,11.408719837727533,0.0245831429947196,0.025813674795942074,0.02515294175080298,0.12648692629061337,0.5,0.5,0.4877915724130256,0.08566057785616686,0.18157490895074074,0.2852172000179413,0.4798002813089948,0.1406829415949547,0.6666666666666666,0.19547430750581252,2021-01-01,"국내,중국,미국,제조,국산"
