,label,nPos,nNeg,log_nPos,log_nNeg,rPos,rNeg,rTot,rCount,adj_rCount,radious,PosNeg,rPositiveness,adj_rPositiveness,theta,xp,yp,x,y,publishtime,subkey
0,원단,166473,145896,12.022588413090768,11.890649318096669,0.10687637950670958,0.10671113695458984,0.10679913717973746,0.43041585222762635,0.8461183194734133,0.8461183194734133,0.5003868263343698,0.4401717319320078,0.4083273074484922,0.641399034670142,0.6779603213455627,0.5062469883658909,0.8974122129822755,0.6701162528853649,2019-01-01,"원단,면,부직포,재질,안감,겉감,바느질,박음질,정전기"
1,착용감,77848,67348,11.262513486501826,11.11762848577769,0.04997874965813272,0.04925962090542384,0.04964259424574513,0.19883164073160292,0.6712595613804924,0.6712595613804924,0.5036232394215316,0.5398632583982934,0.5264017486371527,0.8268699331776499,0.45456504320594965,0.4939230914220392,0.7186188327302117,0.7808397075869948,2019-01-01,"밀착,편안,구조,공간,구조,실리콘"
2,필터,109821,93721,11.606607046600912,11.4480775626459,0.07050555269506979,0.06854933971130883,0.06959112453488701,0.27965816417705747,0.7587736353521763,0.7587736353521763,0.5070339595749139,0.6449239812673212,0.639623657194417,1.0047184912521083,0.4069499016163319,0.6404133097305328,0.5332575065513485,0.8391824235681176,2019-01-01,"교체,필터,교환,특허,허가,KF"
3,보관,35486,31545,10.476893531483524,10.35917037680491,0.022782164093727488,0.023072618956191646,0.02291793668480221,0.09054992124588046,0.541452300211571,0.541452300211571,0.4968328836912394,0.33069931369444655,0.2748620749095761,0.4317523376431858,0.49176531050178074,0.22657774116512064,0.6943015334743806,0.3198950185843475,2019-01-01,"세탁,보관,케이스,부착,가방,패드,오염"
4,향균,16420,13416,9.70625538300642,9.504203303503045,0.010541710376458473,0.009812720111468288,0.01020094521829838,0.039023809095027194,0.3037662004362889,0.3037662004362889,0.5179074100211889,0.9798598636009547,0.8209368753987519,1.2895246284068391,0.08431869209540649,0.29182916696385863,0.15482234686906277,0.5358441336241926,2019-01-01,"자극,균,세균,살균"
5,냄새,14227,11958,9.562896846651167,9.38915578944085,0.009133794977215268,0.00874631090436328,0.008952666260260863,0.03396609070645978,0.24746530691827096,0.24746530691827096,0.5108356201976187,0.7620268789436407,0.7544794401864833,1.1851335332871977,0.09308984861141661,0.22928880961280595,0.2009387897865643,0.4949306138365419,2019-01-01,"냄새,향"
6,디자인,108009,88812,11.589969835967661,11.394277054985468,0.06934224092880044,0.06495880281303829,0.06729321084631672,0.27034758480440296,0.7533793524813922,0.7533793524813922,0.5163194491778793,0.9309457614221598,0.8060139481771127,1.2660837491420607,0.2260281243814154,0.7186735947103534,0.2627980085024457,0.8355862349875949,2019-01-01,"디자인,패션,아이템,스타일,연예인,고급,스타,핏,포인트,다양,패턴,화이트,컬러,블랙,핑크,색상,꽃,흰색,검정,캐릭터"
7,숨쉬기,154467,130328,11.947735760272858,11.777809628746006,0.0991684760487461,0.09532440270478823,0.09737157103650917,0.3922176799881419,0.8239873931411705,0.8239873931411705,0.5098822984383639,0.732661622150359,0.7341768154234275,1.1532422448850947,0.3341482249185052,0.7531933270013709,0.3915843129713017,0.8826582620941137,2019-01-01,"숨,호흡,편안,서림,숨쉬기,호흡,공기,운동,띰밸브"
8,브랜드,10796,8912,9.286930974137896,9.095153962167066,0.006931078271878543,0.006518407992949119,0.0067381763092312814,0.024993523737752245,0.19255825979332503,0.19255825979332503,0.5153414885447564,0.9008215511578084,0.796823522975377,1.251647462993491,0.06041679424975404,0.182834609380217,0.12725985307115265,0.38511651958665005,2019-01-01,"브랜드,크리넥스,웰킵스,필슨,유한킴벌리, 3M"
9,여름용마스크,18526,16556,9.826930429813974,9.714503852868623,0.011893771402817886,0.012109376428553142,0.011994555575423777,0.046291075779887426,0.3879122289233927,0.3879122289233927,0.49550881769237215,0.2899139883931763,0.2437785177068466,0.3829264001654193,0.3598177629180382,0.14493817591294947,0.5919414859489285,0.2384399217116512,2019-01-01,"여름,답답,더위,덴탈,덴탈마스크,통기성"
