category,channel,etc,maker,nReview,nSold,options,price,productName,site_productID,updateDate,url
hair dryer,amazonlist,https://m.media-amazon.com/images/I/511q7tiIl0L._AC_UL320_.jpg,,109,,,16399,"Skin Research Institute Salon Dry Pro - Red Light Therapy Professional Salon Ceramic Ionic Volumizer, Styler, Hair Blow Dryer 1875W Dual Voltage | Free Concentrator Diffuser and Comb Attachments",,,/Skin-Research-Institute-Salon-Dry/dp/B081KQJTX8/ref=sr_1_195?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-195#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/518PMxr4u5L._AC_UL320_.jpg,,"2,523",,,1344,Revlon 1875W Frizz Control Lightweight Hair Dryer,,,/Revlon-1875W-Frizz-Control-Lightweight/dp/B000FS1W4U/ref=sr_1_103?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-103#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71eQxz2xTZL._AC_UL320_.jpg,,113,,,3988,"Light Weight Salon Hair Blow Dryer 2000W Low Noise with Powerful Professional Hair Dryer Negative Ionic Ceramic Technology, Quick Drying with AC Motor,2 Speed 3 Heat Settings and Cool Button-WhiteBlue",,,/Powerful-Professional-Negative-Technology-Button-WhiteBlue/dp/B07YY2SJM1/ref=sr_1_51?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-51#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61ClM6V+6TL._AC_UL320_.jpg,,92,,,3299,Oster Professional 76932-710 Wall Mount Hair Dryer,,,/Oster-Professional-76932-710-Mount-Dryer/dp/B00BAXW7LG/ref=sr_1_293?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-293#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/519rEBsrcCL._AC_UL320_.jpg,,18,,,3999,3 in 1 Professional Hair Dryer Negative Ionic Blow Dryer with Diffuser and Concentrator Nozzles-3 Temperature & 2 Speed Low Noise Lightweight for Home and Travel,,,/Professional-Concentrator-Nozzles-3-Temperature-Lightweight/dp/B083FYZM84/ref=sr_1_147?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-147#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61w9eF18rAL._AC_UL320_.jpg,,246,,,4345,Deinppa Ionic Hair Dryer AC 2100W Professional Salon Blow Dryer Low Noise Fast Dry with Ceramic+Tourmaline Technology With GFCI,,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_3?ie=UTF8&adId=A0468375A13FZBMPR2S2&url=%2FDeinppa-Professional-Ceramic-Tourmaline-Technology%2Fdp%2FB07QLTZSVJ%2Fref%3Dsr_1_251_sspa%3Fdchild%3D1%26keywords%3Dhair%2Bdryer%26qid%3D1592307818%26sr%3D8-251-spons%26psc%3D1&qualifier=1592313581&id=7015465295405546&widgetName=sp_btf#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71TiSk5pGfL._AC_UL320_.jpg,,12,,,1447,"DIY Stylist Petite and Powerful 1875W Compact Fast Drying Hair Dryer, White",,,/DIY-Stylist-Petite-Powerful-Compact/dp/B07W99GNMM/ref=sr_1_196?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-196#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/51LmAd2SLtL._AC_UL320_.jpg,,75,,,3706,"KIPOZI 1875W Professional Hair Dryer, Nano Ionic Fast Dry Hair Blow dryer with Diffuser and Concentrator, 2 Speed 3 Heat Cool Shot Setting, Low Noise hair blower, Lightweight",,,/KIPOZI-Professional-Diffuser-Concentrator-Lightweight/dp/B07HMZHZG5/ref=sr_1_104?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-104#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/81VRm41AmXL._AC_UL320_.jpg,,175,,,4939,Allure Turbo 4300 Tourmaline/Ceramic/Ionic Hair Dryer,,,/Allure-Turbo-Tourmaline-Ceramic-Ionic/dp/B004BUVCCA/ref=sr_1_52?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-52#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71Gs6+0carL._AC_UL320_.jpg,,71,,,2239,"Hair Dryer Brush, LARMHOI 3 IN 1 Hot Air Brush with Straightening, Curling, Fast Drying, LED Indicator, 3 Settings, Painless One Step Hair Dryer & Volumizer for Hair Styling, Reducing Frizz",,,/LARMHOI-Straightening-Indicator-Settings-Volumizer/dp/B07S8TLBC2/ref=sr_1_294?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-294#customerReviews
